Ref,Status,Design ,Type ,Mode,Year,Outstanding Benefits-RiskScore,Membership,Net Assets,ExpensesToAssets_ratio,LiquidityRatio,OverallRiskScore,ReturnOnInvestment,UnremmittedContributionsToAssetsRatio,ComplianceToTable G,Inflation,CBKrate,Exchange_rate
121,Active,Defined Contribution,Provident Fund,Guaranteed funds,2015,0,18," 17,560,154.00 ",0.79%,27%,0,7%,0%,0,7%,13%,103.78
121,Active,Defined Contribution,Provident Fund,Guaranteed funds,2014,0,23," 15,854,745.00 ",1.44%,207%,0,17%,0%,0,7%,10%,101.78
1210,Active,Defined Contribution,Provident Fund,Guaranteed funds,2024,1,68," 143,981,639.00 ",0.27%,11%,2.75,11%,0%,1,5%,11%,134.8
1210,Active,Defined Contribution,Provident Fund,Guaranteed funds,2023,1,43," 123,466,911.00 ",0.28%,217%,2.32,11%,0%,5,7%,13%,151.77
1210,Active,Defined Contribution,Provident Fund,Guaranteed funds,2022,1,44," 150,135,003.00 ",0.34%,408%,2.24,10%,0%,5,9%,9%,121.95
1210,Active,Defined Contribution,Provident Fund,Guaranteed funds,2021,1,61," 230,395,640.00 ",0.29%,18%,2.59,10%,0%,5,6%,7%,111.93
1210,Active,Defined Contribution,Provident Fund,Guaranteed funds,2020,0,57," 198,825,142.00 ",0.25%,16%,0,9%,0%,0,5%,7%,109.51
1210,Active,Defined Contribution,Provident Fund,Guaranteed funds,2019,0,56," 170,535,516.00 ",0.31%,12%,0,10%,0%,0,5%,9%,102.55
1210,Active,Defined Contribution,Provident Fund,Guaranteed funds,2018,0,50," 141,264,600.00 ",0.33%,5%,0,8%,0%,0,6%,9%,101.88
1210,Active,Defined Contribution,Provident Fund,Guaranteed funds,2017,0,48," 116,324,140.00 ",0.58%,10%,0,10%,0%,0,5%,10%,103.37
1210,Active,Defined Contribution,Provident Fund,Guaranteed funds,2016,0,44," 91,511,792.00 ",0.56%,25%,0,10%,0%,0,7%,10%,101.78
1210,Active,Defined Contribution,Provident Fund,Guaranteed funds,2015,0,41," 76,355,773.00 ",0.46%,27%,0,10%,0%,0,7%,13%,103.78
1210,Active,Defined Contribution,Provident Fund,Guaranteed funds,2014,0,41," 64,999,864.00 ",0.46%,18%,0,13%,0%,0,7%,10%,101.78
1211,Active,Defined Benefit,Pension Scheme,Segregated funds,2024,5,102," 703,420,692.00 ",1.40%,24%,3.77,14%,0%,1,5%,11%,134.8
1211,Active,Defined Benefit,Pension Scheme,Segregated funds,2023,1,104," 626,793,593.00 ",1.41%,60%,3.1,7%,0%,1,7%,13%,151.77
1211,Active,Defined Benefit,Pension Scheme,Segregated funds,2022,5,106," 605,824,802.00 ",1.51%,115%,3.85,3%,0%,1,9%,9%,121.95
1211,Active,Defined Benefit,Pension Scheme,Segregated funds,2021,5,109," 609,239,721.00 ",1.30%,23%,4.31,13%,0%,1,6%,7%,111.93
1211,Active,Defined Benefit,Pension Scheme,Segregated funds,2020,0,111," 544,085,272.00 ",1.36%,31%,0,8%,0%,0,5%,7%,109.51
1211,Active,Defined Benefit,Pension Scheme,Segregated funds,2019,0,111," 511,435,294.00 ",1.74%,35%,0,10%,0%,0,5%,9%,102.55
1211,Active,Defined Benefit,Pension Scheme,Segregated funds,2018,0,111," 474,958,033.00 ",1.43%,26%,0,12%,0%,0,6%,9%,101.88
1211,Active,Defined Benefit,Pension Scheme,Segregated funds,2017,0,111," 426,139,243.00 ",1.43%,20%,0,14%,0%,0,5%,10%,103.37
1211,Active,Defined Benefit,Pension Scheme,Segregated funds,2016,0,113," 372,594,011.00 ",3.19%,72%,0,4%,0%,0,7%,10%,101.78
1211,Active,Defined Benefit,Pension Scheme,Segregated funds,2015,0,111," 365,900,913.00 ",1.62%,20%,0,10%,0%,0,7%,13%,103.78
1211,Active,Defined Benefit,Pension Scheme,Segregated funds,2014,0,26," 331,574,327.00 ",1.49%,37%,0,10%,0%,0,7%,10%,101.78
1213,Active,Defined Contribution,Provident Fund,Segregated funds,2024,1,75," 175,896,576.00 ",2.18%,19%,3.29,25%,0%,1,5%,11%,134.8
1213,Active,Defined Contribution,Provident Fund,Segregated funds,2023,1,76," 133,179,663.00 ",2.64%,112%,3.23,0%,0%,1,7%,13%,151.77
1213,Active,Defined Contribution,Provident Fund,Segregated funds,2022,1,79," 134,299,029.00 ",2.47%,53%,3.23,3%,0%,1,9%,9%,121.95
1213,Active,Defined Contribution,Provident Fund,Segregated funds,2021,1,77," 128,016,661.00 ",2.14%,57%,3.48,11%,0%,1,6%,7%,111.93
1213,Active,Defined Contribution,Provident Fund,Segregated funds,2020,0,75," 118,509,310.00 ",1.47%,16%,0,5%,0%,0,5%,7%,109.51
1213,Active,Defined Contribution,Provident Fund,Segregated funds,2019,0,75," 107,677,623.00 ",2.22%,50%,0,14%,0%,0,5%,9%,102.55
1213,Active,Defined Contribution,Provident Fund,Segregated funds,2018,0,64," 97,157,204.00 ",2.37%,100%,0,5%,0%,0,6%,9%,101.88
1213,Active,Defined Contribution,Provident Fund,Segregated funds,2017,0,79," 97,116,246.00 ",2.30%,44%,0,17%,0%,0,5%,10%,103.37
1213,Active,Defined Contribution,Provident Fund,Segregated funds,2016,0,81," 84,936,265.00 ",2.24%,36%,0,7%,0%,0,7%,10%,101.78
1213,Active,Defined Contribution,Provident Fund,Segregated funds,2015,0,82," 77,260,493.00 ",1.91%,48%,0,2%,0%,0,7%,13%,103.78
1213,Active,Defined Contribution,Provident Fund,Segregated funds,2014,0,72," 73,911,490.00 ",1.85%,59%,0,13%,0%,0,7%,10%,101.78
1214,Active,Defined Contribution,Provident Fund,Guaranteed funds,2024,1,35," 44,781,273.00 ",0.42%,3%,2.05,9%,0%,1,5%,11%,134.8
1214,Active,Defined Contribution,Provident Fund,Guaranteed funds,2023,1,34," 38,310,829.00 ",0.60%,1%,2.48,94%,0%,5,7%,13%,151.77
1214,Active,Defined Contribution,Provident Fund,Guaranteed funds,2022,1,32," 32,166,305.00 ",0.48%,3%,2.48,9%,0%,5,9%,9%,121.95
1214,Active,Defined Contribution,Provident Fund,Guaranteed funds,2021,1,42," 27,300,741.00 ",0.59%,3%,2.64,10%,0%,5,6%,7%,111.93
1214,Active,Defined Contribution,Provident Fund,Guaranteed funds,2020,0,32," 22,780,786.00 ",0.82%,4%,0,9%,0%,0,5%,7%,109.51
1214,Active,Defined Contribution,Provident Fund,Guaranteed funds,2019,0,31," 18,753,954.00 ",0.84%,19%,0,10%,0%,0,5%,9%,102.55
1214,Active,Defined Contribution,Provident Fund,Guaranteed funds,2018,0,41," 16,215,761.00 ",0.99%,16%,0,8%,0%,0,6%,9%,101.88
1214,Active,Defined Contribution,Provident Fund,Guaranteed funds,2017,0,0," 14,107,462.00 ",0.81%,5%,0,8%,0%,0,5%,10%,103.37
1214,Active,Defined Contribution,Provident Fund,Guaranteed funds,2016,0,0," 12,068,464.00 ",1.20%,67%,0,3%,0%,0,7%,10%,101.78
1214,Active,Defined Contribution,Provident Fund,Guaranteed funds,2015,0,0," 11,611,138.00 ",1.01%,224%,0,2%,0%,0,7%,13%,103.78
1214,Active,Defined Contribution,Provident Fund,Guaranteed funds,2014,0,30," 12,976,044.00 ",1.00%,87%,0,7%,0%,0,7%,10%,101.78
1215,Active,Defined Contribution,Pension Scheme,Segregated funds,2024,5,8033," 23,032,817,000.00 ",1.94%,23%,4.07,18%,0%,1,5%,11%,134.8
1215,Active,Defined Contribution,Pension Scheme,Segregated funds,2023,1,7797," 17,960,808,000.00 ",2.13%,51%,3.13,1%,0%,5,7%,13%,151.77
1215,Active,Defined Contribution,Pension Scheme,Segregated funds,2022,1,7449," 16,740,505,000.00 ",1.76%,74%,2.19,-3%,0%,5,9%,9%,121.95
1215,Active,Defined Contribution,Pension Scheme,Segregated funds,2021,5,6440," 16,344,121,953.00 ",0.84%,54%,3.5,-4%,0%,5,6%,7%,111.93
1215,Active,Defined Contribution,Pension Scheme,Segregated funds,2020,0,6270," 15,810,654,000.00 ",0.53%,24%,0,0%,0%,0,5%,7%,109.51
1215,Active,Defined Contribution,Pension Scheme,Segregated funds,2019,0,6251," 14,572,147,000.00 ",0.60%,8%,0,10%,0%,0,5%,9%,102.55
1215,Active,Defined Contribution,Pension Scheme,Segregated funds,2018,0,6027," 11,812,186,000.00 ",1.08%,33%,0,1%,0%,0,6%,9%,101.88
1215,Active,Defined Contribution,Pension Scheme,Segregated funds,2017,0,5703," 10,748,748,430.00 ",0.79%,14%,0,13%,0%,0,5%,10%,103.37
1215,Active,Defined Contribution,Pension Scheme,Segregated funds,2016,0,5556," 8,475,005,734.00 ",0.44%,15%,0,7%,0%,0,7%,10%,101.78
1215,Active,Defined Contribution,Pension Scheme,Segregated funds,2015,0,5234," 7,029,316,912.00 ",0.90%,40%,0,0%,0%,0,7%,13%,103.78
1216,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,102," 519,891,014.00 ",0.00%,66%,1.37,11%,0%,1,5%,11%,134.8
1216,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,96," 489,121,749.00 ",0.00%,75%,2.25,9%,0%,5,7%,13%,151.77
1216,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,113," 462,627,213.00 ",0.00%,13%,2.25,6%,0%,5,9%,9%,121.95
1216,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,114," 400,250,492.00 ",0.00%,37%,2.61,8%,0%,5,6%,7%,111.93
1216,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,120," 348,875,599.00 ",0.00%,8%,0,7%,0%,0,5%,7%,109.51
1216,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,149," 291,024,480.00 ",0.00%,16%,0,9%,0%,0,5%,9%,102.55
1216,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,151," 242,551,418.00 ",0.00%,44%,0,8%,0%,0,6%,9%,101.88
1216,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,97," 216,394,074.00 ",0.00%,42%,0,9%,0%,0,5%,10%,103.37
1216,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,82," 190,217,672.00 ",0.00%,35%,0,8%,0%,0,7%,10%,101.78
1216,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,85," 164,185,734.00 ",0.00%,39%,0,7%,0%,0,7%,13%,103.78
1216,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,109," 143,948,097.00 ",0.00%,61%,0,11%,0%,0,7%,10%,101.78
1218,Active,Defined Contribution,Provident Fund,Guaranteed funds,2024,1,598," 857,591,251.00 ",0.52%,33%,3.01,9%,0%,1,5%,11%,134.8
1218,Active,Defined Contribution,Provident Fund,Guaranteed funds,2023,5,464," 754,944,466.00 ",0.55%,38%,2.94,10%,0%,5,7%,13%,151.77
1218,Active,Defined Contribution,Provident Fund,Guaranteed funds,2022,1,472," 673,367,320.00 ",0.56%,38%,2.14,10%,0%,5,9%,9%,121.95
1218,Active,Defined Contribution,Provident Fund,Guaranteed funds,2021,5,485," 600,174,242.00 ",0.75%,28%,3.33,10%,0%,5,6%,7%,111.93
1218,Active,Defined Contribution,Provident Fund,Guaranteed funds,2020,0,500," 519,100,217.00 ",0.52%,23%,0,9%,0%,0,5%,7%,109.51
1218,Active,Defined Contribution,Provident Fund,Guaranteed funds,2019,0,489," 440,525,538.00 ",0.63%,43%,0,10%,0%,0,5%,9%,102.55
1218,Active,Defined Contribution,Provident Fund,Guaranteed funds,2018,0,498," 385,570,588.00 ",0.69%,25%,0,10%,0%,0,6%,9%,101.88
1218,Active,Defined Contribution,Provident Fund,Guaranteed funds,2017,0,493," 317,222,319.00 ",0.41%,20%,0,10%,0%,0,5%,10%,103.37
1218,Active,Defined Contribution,Provident Fund,Guaranteed funds,2016,0,268," 252,639,687.00 ",0.43%,22%,0,10%,0%,0,7%,10%,101.78
1218,Active,Defined Contribution,Provident Fund,Guaranteed funds,2015,0,189," 197,460,337.00 ",0.45%,54%,0,12%,0%,0,7%,13%,103.78
1218,Active,Defined Contribution,Provident Fund,Guaranteed funds,2014,0,224," 167,710,019.00 ",0.43%,30%,0,12%,0%,0,7%,10%,101.78
1221,Active,Defined Contribution,Provident Fund,Guaranteed funds,2024,1,47," 51,143,398.00 ",0.26%,4%,2.24,8%,0%,1,5%,11%,134.8
1221,Active,Defined Contribution,Provident Fund,Guaranteed funds,2023,1,50," 44,471,542.00 ",0.30%,4%,2.46,10%,0%,5,7%,13%,151.77
1221,Active,Defined Contribution,Provident Fund,Guaranteed funds,2022,1,47," 37,815,851.00 ",0.29%,62%,2.46,9%,0%,5,9%,9%,121.95
1221,Active,Defined Contribution,Provident Fund,Guaranteed funds,2021,1,52," 35,903,539.00 ",0.26%,12%,3.52,8%,0%,5,6%,7%,111.93
1221,Active,Defined Contribution,Provident Fund,Guaranteed funds,2020,0,45," 31,031,569.00 ",0.31%,29%,0,8%,0%,0,5%,7%,109.51
1221,Active,Defined Contribution,Provident Fund,Guaranteed funds,2019,0,47," 27,462,141.00 ",0.31%,28%,0,9%,0%,0,5%,9%,102.55
1221,Active,Defined Contribution,Provident Fund,Guaranteed funds,2018,0,44," 23,912,745.00 ",0.33%,4%,0,10%,0%,0,6%,9%,101.88
1221,Active,Defined Contribution,Provident Fund,Guaranteed funds,2017,0,48," 19,571,392.00 ",0.34%,12%,0,10%,0%,0,5%,10%,103.37
1221,Active,Defined Contribution,Provident Fund,Guaranteed funds,2016,0,40," 16,198,684.00 ",0.37%,8%,0,10%,0%,0,7%,10%,101.78
1221,Active,Defined Contribution,Provident Fund,Guaranteed funds,2015,0,34," 12,990,146.00 ",0.64%,3%,0,12%,0%,0,7%,13%,103.78
1221,Active,Defined Contribution,Provident Fund,Guaranteed funds,2014,0,30," 9,904,046.00 ",0.37%,30%,0,12%,0%,0,7%,10%,101.78
1223,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,83," 10,494,404.00 ",0.00%,6%,2.47,9%,0%,1,5%,11%,134.8
1223,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,80," 8,628,861.00 ",0.60%,168%,2.56,1%,0%,5,7%,13%,151.77
1223,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,27," 9,312,266.00 ",0.58%,131%,2.56,2%,0%,5,9%,9%,121.95
1223,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,0," 9,609,951.29 ",0.20%,17%,2.8,4%,0%,5,6%,7%,111.93
1223,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,0," 8,873,406.00 ",0.20%,168%,0,2%,0%,0,5%,7%,109.51
1223,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,0," 9,244,505.00 ",0.20%,93%,0,7%,0%,0,5%,9%,102.55
1223,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,0," 9,146,963.00 ",0.20%,39%,0,1%,0%,0,6%,9%,101.88
1223,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,0," 8,598,120.00 ",0.82%,90%,0,7%,0%,0,5%,10%,103.37
1223,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,0," 8,456,765.00 ",0.20%,109%,0,3%,0%,0,7%,10%,101.78
1223,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,0," 8,545,256.00 ",0.20%,10%,0,2%,0%,0,7%,13%,103.78
1223,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,0," 7,797,903.00 ",0.64%,42%,0,7%,0%,0,7%,10%,101.78
1225,Active,Defined Contribution,Provident Fund,Guaranteed funds,2024,1,259," 106,667,220.00 ",1.04%,13%,2.2,10%,0%,1,5%,11%,134.8
1225,Active,Defined Contribution,Provident Fund,Guaranteed funds,2023,1,263," 91,072,506.00 ",0.24%,29%,2.53,9%,0%,5,7%,13%,151.77
1225,Active,Defined Contribution,Provident Fund,Guaranteed funds,2022,1,262," 80,586,268.00 ",0.48%,24%,2.45,6%,0%,5,9%,9%,121.95
1225,Active,Defined Contribution,Provident Fund,Guaranteed funds,2021,1,341," 71,954,800.00 ",0.20%,90%,2.72,9%,0%,5,6%,7%,111.93
1225,Active,Defined Contribution,Provident Fund,Guaranteed funds,2020,0,246," 70,674,498.00 ",0.20%,42%,0,7%,0%,0,5%,7%,109.51
1225,Active,Defined Contribution,Provident Fund,Guaranteed funds,2019,0,249," 66,013,910.00 ",0.41%,24%,0,9%,0%,0,5%,9%,102.55
1225,Active,Defined Contribution,Provident Fund,Guaranteed funds,2018,0,242," 55,723,422.00 ",0.22%,21%,0,8%,0%,0,6%,9%,101.88
1225,Active,Defined Contribution,Provident Fund,Guaranteed funds,2017,0,125," 46,768,449.00 ",0.20%,8%,0,8%,0%,0,5%,10%,103.37
1225,Active,Defined Contribution,Provident Fund,Guaranteed funds,2016,0,289," 36,766,786.00 ",0.20%,28%,0,8%,0%,0,7%,10%,101.78
1225,Active,Defined Contribution,Provident Fund,Guaranteed funds,2015,0,217," 30,346,835.00 ",0.28%,40%,0,7%,0%,0,7%,13%,103.78
1225,Active,Defined Contribution,Provident Fund,Guaranteed funds,2014,0,197," 26,198,913.00 ",0.29%,21%,0,10%,0%,0,7%,10%,101.78
1228,Active,Defined Contribution,Provident Fund,Guaranteed funds,2024,1,45," 75,602,371.00 ",0.79%,13%,3.03,10%,0%,1,5%,11%,134.8
1228,Active,Defined Contribution,Provident Fund,Guaranteed funds,2023,1,43," 64,587,173.00 ",0.26%,204%,3.26,9%,0%,5,7%,13%,151.77
1228,Active,Defined Contribution,Provident Fund,Guaranteed funds,2022,1,43," 75,693,768.00 ",0.45%,9%,3.26,6%,0%,5,9%,9%,121.95
1228,Active,Defined Contribution,Provident Fund,Guaranteed funds,2021,1,35," 67,026,700.00 ",0.24%,26%,3.52,8%,0%,5,6%,7%,111.93
1228,Active,Defined Contribution,Provident Fund,Guaranteed funds,2020,0,32," 59,274,444.00 ",0.25%,144%,0,7%,0%,0,5%,7%,109.51
1228,Active,Defined Contribution,Provident Fund,Guaranteed funds,2019,0,32," 63,272,757.00 ",0.29%,6%,0,9%,1%,0,5%,9%,102.55
1228,Active,Defined Contribution,Provident Fund,Guaranteed funds,2018,0,41," 53,598,117.00 ",0.25%,14%,0,8%,0%,0,6%,9%,101.88
1228,Active,Defined Contribution,Provident Fund,Guaranteed funds,2017,0,42," 45,999,390.00 ",0.26%,6%,0,9%,0%,0,5%,10%,103.37
1228,Active,Defined Contribution,Provident Fund,Guaranteed funds,2016,0,41," 38,214,292.00 ",0.28%,5%,0,8%,0%,0,7%,10%,101.78
1228,Active,Defined Contribution,Provident Fund,Guaranteed funds,2015,0,39," 31,694,155.00 ",0.29%,17%,0,7%,0%,0,7%,13%,103.78
1228,Active,Defined Contribution,Provident Fund,Guaranteed funds,2014,0,35," 27,046,985.00 ",0.31%,23%,0,10%,0%,0,7%,10%,101.78
1229,Active,Defined Contribution,Provident Fund,Segregated funds,2024,1,194," 523,744,373.00 ",1.85%,17%,3.4,10%,0%,1,5%,11%,134.8
1229,Active,Defined Contribution,Provident Fund,Segregated funds,2023,1,203," 458,412,155.00 ",2.24%,253%,3.31,0%,0%,1,7%,13%,151.77
1229,Active,Defined Contribution,Provident Fund,Segregated funds,2022,1,200," 496,623,213.00 ",2.73%,73%,3.23,3%,0%,1,9%,9%,121.95
1229,Active,Defined Contribution,Provident Fund,Segregated funds,2021,1,205," 486,587,566.00 ",1.95%,41%,3.48,11%,0%,1,6%,7%,111.93
1229,Active,Defined Contribution,Provident Fund,Segregated funds,2020,0,203," 441,561,327.00 ",1.56%,43%,0,6%,0%,0,5%,7%,109.51
1229,Active,Defined Contribution,Provident Fund,Segregated funds,2019,0,214," 414,812,331.00 ",1.63%,19%,0,14%,0%,0,5%,9%,102.55
1229,Active,Defined Contribution,Provident Fund,Segregated funds,2018,0,211," 352,489,746.00 ",1.78%,58%,0,6%,0%,0,6%,9%,101.88
1229,Active,Defined Contribution,Provident Fund,Segregated funds,2017,0,222," 337,358,324.00 ",1.86%,19%,0,16%,0%,0,5%,10%,103.37
1229,Active,Defined Contribution,Provident Fund,Segregated funds,2016,0,205," 283,527,795.00 ",2.06%,47%,0,9%,0%,0,7%,10%,101.78
1229,Active,Defined Contribution,Provident Fund,Segregated funds,2015,0,191," 264,176,614.00 ",1.66%,109%,0,3%,0%,0,7%,13%,103.78
1229,Active,Defined Contribution,Provident Fund,Segregated funds,2014,0,198," 265,917,935.00 ",1.65%,24%,0,13%,0%,0,7%,10%,101.78
1230,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,342," 253,030,102.00 ",0.61%,32%,2.18,11%,0%,1,5%,11%,134.8
1230,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,5,0," 216,610,715.00 ",0.23%,52%,3.21,9%,0%,5,7%,13%,151.77
1230,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,321," 194,773,007.00 ",0.24%,101%,2.36,6%,0%,5,9%,9%,121.95
1230,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,0," 195,005,408.00 ",0.25%,77%,2.72,9%,0%,5,6%,7%,111.93
1230,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,370," 187,320,065.00 ",0.21%,79%,0,8%,0%,0,5%,7%,109.51
1230,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,432," 180,263,446.00 ",0.24%,36%,0,8%,0%,0,5%,9%,102.55
1230,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,418," 154,379,106.00 ",0.25%,27%,0,6%,0%,0,6%,9%,101.88
1230,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,386," 130,879,303.00 ",0.28%,27%,0,7%,0%,0,5%,10%,103.37
1230,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,0," 109,066,891.00 ",0.22%,25%,0,3%,0%,0,7%,10%,101.78
1230,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,0," 90,986,182.00 ",0.23%,93%,0,2%,0%,0,7%,13%,103.78
1230,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,221," 89,697,274.00 ",0.23%,23%,0,6%,0%,0,7%,10%,101.78
1232,Active,Defined Contribution,Provident Fund,Segregated funds,2024,1,1195," 2,911,199,079.00 ",0.76%,92%,2.03,6%,0%,1,5%,11%,134.8
1232,Active,Defined Contribution,Provident Fund,Segregated funds,2023,1,1215," 2,877,381,101.00 ",0.80%,84%,1.54,5%,0%,1,7%,13%,151.77
1232,Active,Defined Contribution,Provident Fund,Segregated funds,2022,1,1198," 2,819,783,718.00 ",1.51%,45%,2.34,8%,0%,1,9%,9%,121.95
1232,Active,Defined Contribution,Provident Fund,Segregated funds,2021,1,1406," 2,589,077,933.00 ",0.99%,29%,3.48,12%,0%,1,6%,7%,111.93
1232,Active,Defined Contribution,Provident Fund,Segregated funds,2020,0,1297," 2,232,181,678.00 ",0.90%,54%,0,6%,0%,0,5%,7%,109.51
1232,Active,Defined Contribution,Provident Fund,Segregated funds,2019,0,1347," 2,093,444,080.00 ",0.87%,60%,0,4%,0%,0,5%,9%,102.55
1232,Active,Defined Contribution,Provident Fund,Segregated funds,2018,0,1362," 1,993,544,929.00 ",0.99%,18%,0,18%,0%,0,6%,9%,101.88
1232,Active,Defined Contribution,Provident Fund,Segregated funds,2017,0,791," 1,568,667,904.00 ",0.78%,64%,0,6%,0%,0,5%,10%,103.37
1232,Active,Defined Contribution,Provident Fund,Segregated funds,2016,0,742," 1,487,856,505.00 ",1.42%,89%,0,1%,0%,0,7%,10%,101.78
1232,Active,Defined Contribution,Provident Fund,Segregated funds,2015,0,826," 1,472,317,605.00 ",0.96%,52%,0,14%,0%,0,7%,13%,103.78
1232,Active,Defined Contribution,Provident Fund,Segregated funds,2014,0,873," 1,318,127,349.00 ",0.93%,20%,0,14%,0%,0,7%,10%,101.78
1233,Active,Defined Contribution,Provident Fund,Guaranteed funds,2024,1,64," 87,564,387.00 ",0.93%,12%,2.05,10%,0%,1,5%,11%,134.8
1233,Active,Defined Contribution,Provident Fund,Guaranteed funds,2023,1,63," 73,557,156.00 ",0.41%,15%,2.43,9%,0%,5,7%,13%,151.77
1233,Active,Defined Contribution,Provident Fund,Guaranteed funds,2022,1,57," 62,486,615.00 ",0.62%,8%,2.43,6%,0%,5,9%,9%,121.95
1233,Active,Defined Contribution,Provident Fund,Guaranteed funds,2021,1,25," 54,544,441.00 ",0.39%,3%,2.64,8%,0%,5,6%,7%,111.93
1233,Active,Defined Contribution,Provident Fund,Guaranteed funds,2020,0,53," 45,519,030.00 ",0.42%,4%,0,7%,0%,0,5%,7%,109.51
1233,Active,Defined Contribution,Provident Fund,Guaranteed funds,2019,0,55," 37,947,630.00 ",0.40%,2%,0,9%,0%,0,5%,9%,102.55
1233,Active,Defined Contribution,Provident Fund,Guaranteed funds,2018,0,55," 30,429,419.00 ",0.54%,30%,0,8%,0%,0,6%,9%,101.88
1233,Active,Defined Contribution,Provident Fund,Guaranteed funds,2017,0,56," 26,441,337.00 ",0.59%,21%,0,9%,0%,0,5%,10%,103.37
1233,Active,Defined Contribution,Provident Fund,Guaranteed funds,2016,0,52," 22,235,272.00 ",0.55%,38%,0,8%,0%,0,7%,10%,101.78
1233,Active,Defined Contribution,Provident Fund,Guaranteed funds,2015,0,49," 19,422,833.00 ",0.51%,7%,0,7%,0%,0,7%,13%,103.78
1233,Active,Defined Contribution,Provident Fund,Guaranteed funds,2014,0,218," 15,450,185.00 ",0.86%,4%,0,10%,0%,0,7%,10%,101.78
1237,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,990," 991,712,231.00 ",0.23%,96%,1.42,13%,0%,1,5%,11%,134.8
1237,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,995," 981,982,832.00 ",0.19%,89%,2.51,5%,0%,5,7%,13%,151.77
1237,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,971," 965,598,898.00 ",0.20%,68%,2.46,8%,0%,5,9%,9%,121.95
1237,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,976," 910,284,929.00 ",0.29%,65%,2.64,8%,0%,5,6%,7%,111.93
1237,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,966," 852,478,186.00 ",0.16%,37%,0,7%,0%,0,5%,7%,109.51
1237,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,937," 755,523,221.00 ",0.20%,34%,0,8%,0%,0,5%,9%,102.55
1237,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,900," 652,856,534.00 ",0.25%,69%,0,6%,0%,0,6%,9%,101.88
1237,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,1454," 610,450,606.00 ",0.20%,33%,0,10%,0%,0,5%,10%,103.37
1237,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,1569," 498,028,673.00 ",0.20%,28%,0,7%,0%,0,7%,10%,101.78
1237,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,1555," 395,512,327.00 ",0.20%,21%,0,7%,0%,0,7%,13%,103.78
1237,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,1312," 313,060,377.00 ",0.20%,32%,0,10%,0%,0,7%,10%,101.78
1239,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,180," 904,626,349.00 ",0.39%,24%,2.05,10%,0%,1,5%,11%,134.8
1239,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,155," 743,337,118.00 ",0.38%,69%,2.09,10%,0%,5,7%,13%,151.77
1239,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,154," 693,171,210.00 ",0.20%,21%,2.34,8%,0%,5,9%,9%,121.95
